"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"......Schlieren";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8018;3480;43.4;3451;1207;2244;35.0
"......Uitikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2779;1889;68.0;1869;308;1561;16.5
"......Unterengstringen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2289;1344;58.7;1334;277;1057;20.8
"......Urdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6085;3293;54.1;3257;971;2286;29.8
"......Weiningen (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2627;1371;52.2;1362;384;978;28.2
">> Bezirk Zürich";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";230176;117459;51.0;116129;47878;68251;41.2
"......Zürich";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";230176;117459;51.0;116129;47878;68251;41.2
"......ZH-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"- Bern / Berne";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";722827;381513;52.8;375940;142828;233112;38.0
">> Arrondissement administratif Jura bernois";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";35961;26597;74.0;25811;12298;13513;47.6
"......Corgémont";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1111;871;78.4;845;349;496;41.3
"......Cormoret";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";372;281;75.5;278;146;132;52.5
"......Cortébert";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";503;354;70.4;343;161;182;46.9
"......Courtelary";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";875;684;78.2;663;337;326;50.8
"......La Ferrière";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";406;285;70.2;277;152;125;54.9
"......Mont-Tramelan";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";110;87;79.1;83;29;54;34.9
"......Orvin";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";892;672;75.3;648;281;367;43.4
"......Renan (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";666;475;71.3;459;208;251;45.3
"......Romont (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";154;104;67.5;102;43;59;42.2
"......Saint-Imier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2970;1915;64.5;1869;892;977;47.7
"......Sonceboz-Sombeval";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1206;837;69.4;806;364;442;45.2
"......Sonvilier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";851;596;70.0;555;301;254;54.2
"......Tramelan";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3045;2383;78.3;2308;1158;1150;50.2
"......Villeret";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";637;495;77.7;484;248;236;51.2
"......Sauge";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";594;404;68.0;385;181;204;47.0
"......Péry-La Heutte";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1317;939;71.3;914;410;504;44.9
"......Belprahon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";246;223;90.7;220;87;133;39.5
"......Champoz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";126;113;89.7;109;31;78;28.4
"......Corcelles (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";170;146;85.9;141;53;88;37.6
"......Court";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1026;797;77.7;761;280;481;36.8
"......Crémines";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";405;314;77.5;304;157;147;51.6
"......Eschert";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";256;204;79.7;201;89;112;44.3
"......Grandval";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";281;232;82.6;223;121;102;54.3
