"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"......Loveresse";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";240;186;77.5;181;85;96;47.0
"......Moutier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4757;3657;76.9;3561;1913;1648;53.7
"......Perrefitte";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";319;270;84.6;262;113;149;43.1
"......Reconvilier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1491;1127;75.6;1101;527;574;47.9
"......Roches (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";167;134;80.2;132;51;81;38.6
"......Saicourt";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";456;338;74.1;330;132;198;40.0
"......Saules (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";122;106;86.9;106;39;67;36.8
"......Schelten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";53;26;49.1;21;16;5;76.2
"......Seehof";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";63;41;65.1;36;12;24;33.3
"......Sorvilier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";200;162;81.0;157;90;67;57.3
"......Tavannes";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2251;1551;68.9;1505;715;790;47.5
"......Rebévelier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";35;34;97.1;34;27;7;79.4
"......Petit-Val";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";301;259;86.0;252;126;126;50.0
"......Valbirse";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2644;2036;77.0;1973;929;1044;47.1
"......La Neuveville";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2575;1786;69.4;1751;755;996;43.1
"......Nods";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";558;403;72.2;392;158;234;40.3
"......Plateau de Diesse";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1510;1070;70.9;1039;532;507;51.2
">> Verwaltungskreis Biel/Bienne";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";62667;30023;47.9;29613;12107;17506;40.9
"......Biel/Bienne";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";31742;14170;44.6;13943;6703;7240;48.1
"......Evilard";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1757;1033;58.8;1015;334;681;32.9
"......Lengnau (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3187;1533;48.1;1505;578;927;38.4
"......Meinisberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";952;523;54.9;518;166;352;32.0
"......Pieterlen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2446;1027;42.0;1020;388;632;38.0
"......Aegerten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1303;656;50.3;651;222;429;34.1
"......Bellmund";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1160;697;60.1;685;180;505;26.3
"......Brügg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2852;1308;45.9;1297;494;803;38.1
"......Ipsach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2949;1678;56.9;1654;529;1125;32.0
"......Ligerz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";425;275;64.7;273;87;186;31.9
"......Mörigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";689;443;64.3;440;80;360;18.2
"......Nidau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4555;2068;45.4;2050;844;1206;41.2
"......Orpund";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1911;903;47.3;890;310;580;34.8
"......Port";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2538;1397;55.0;1381;413;968;29.9
"......Safnern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1414;808;57.1;805;284;521;35.3
"......Scheuren";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";352;170;48.3;167;66;101;39.5
"......Schwadernau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";496;253;51.0;251;79;172;31.5
"......Sutz-Lattrigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1027;556;54.1;546;167;379;30.6
"......Twann-Tüscherz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";912;525;57.6;522;183;339;35.1
">> Verwaltungskreis Seeland";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";54342;27746;51.1;27401;9422;17979;34.4
"......Aarberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3168;1681;53.1;1663;507;1156;30.5
"......Bargen (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";765;389;50.8;383;148;235;38.6
"......Grossaffoltern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2263;1180;52.1;1165;377;788;32.4
"......Kallnach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1478;717;48.5;714;303;411;42.4
"......Kappelen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";956;521;54.5;516;189;327;36.6
"......Lyss";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9895;4666;47.2;4621;1554;3067;33.6
"......Radelfingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";989;504;51.0;498;197;301;39.6
"......Rapperswil (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2018;978;48.5;964;326;638;33.8
"......Schüpfen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2809;1473;52.4;1449;534;915;36.9
"......Seedorf (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2361;1250;52.9;1227;448;779;36.5
"......Arch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1143;627;54.9;620;229;391;36.9
"......Büetigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";613;319;52.0;317;107;210;33.8
"......Büren an der Aare";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2446;1215;49.7;1199;383;816;31.9
"......Diessbach bei Büren";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";667;344;51.6;332;116;216;34.9
"......Dotzigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1067;516;48.4;506;207;299;40.9
"......Leuzigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";953;517;54.2;507;175;332;34.5
"......Meienried (Gemeinsame Urne, Standort: Büren an der Aare          )";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"......Oberwil bei Büren";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";628;319;50.8;316;97;219;30.7
"......Rüti bei Büren";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";657;345;52.5;338;145;193;42.9
"......Wengi";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";429;231;53.8;230;88;142;38.3
"......Brüttelen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";419;228;54.4;223;65;158;29.1
"......Erlach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";972;560;57.6;556;207;349;37.2
"......Finsterhennen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";311;162;52.1;162;56;106;34.6
"......Gals";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";529;248;46.9;244;90;154;36.9
"......Gampelen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";597;322;53.9;318;95;223;29.9
"......Ins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2234;1266;56.7;1251;445;806;35.6
"......Lüscherz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";414;172;41.5;171;59;112;34.5
"......Müntschemier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";782;445;56.9;443;133;310;30.0
"......Siselen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";462;224;48.5;222;81;141;36.5
"......Treiten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";327;169;51.7;167;42;125;25.1
"......Tschugg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";307;180;58.6;179;77;102;43.0
"......Vinelz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";640;339;53.0;332;74;258;22.3
"......Bühl";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";332;170;51.2;168;52;116;31.0
"......Epsach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";265;124;46.8;124;61;63;49.2
"......Hagneck";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";329;176;53.5;174;70;104;40.2
"......Hermrigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";214;114;53.3;111;37;74;33.3
"......Jens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";535;293;54.8;292;93;199;31.8
"......Merzligen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";315;193;61.3;190;58;132;30.5
"......Studen (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2112;964;45.6;952;294;658;30.9
"......Täuffelen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2048;1099;53.7;1089;373;716;34.3
"......Walperswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";751;403;53.7;396;149;247;37.6
"......Worben";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1696;888;52.4;873;298;575;34.1
">> Verwaltungskreis Oberaargau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";57251;27889;48.7;27537;9433;18104;34.3
"......Aarwangen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2998;1564;52.2;1555;464;1091;29.8
"......Auswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";393;181;46.1;181;69;112;38.1
"......Bannwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";527;281;53.3;279;105;174;37.6
"......Bleienbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";545;282;51.7;276;93;183;33.7
"......Busswil bei Melchnau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";160;85;53.1;83;29;54;34.9
"......Gondiswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";601;287;47.8;285;83;202;29.1
"......Langenthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";10335;4846;46.9;4786;1491;3295;31.2
"......Lotzwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1667;899;53.9;890;322;568;36.2
"......Madiswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2463;1253;50.9;1218;405;813;33.3
"......Melchnau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1112;505;45.4;496;178;318;35.9
"......Obersteckholz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";332;170;51.2;168;46;122;27.4
"......Oeschenbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";202;88;43.6;87;50;37;57.5
"......Reisiswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";157;69;43.9;69;18;51;26.1
"......Roggwil (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2714;1327;48.9;1305;449;856;34.4
"......Rohrbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1145;530;46.3;520;203;317;39.0
"......Rohrbachgraben";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";325;154;47.4;154;36;118;23.4
"......Rütschelen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";438;239;54.6;238;85;153;35.7
"......Schwarzhäusern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";398;208;52.3;205;58;147;28.3
"......Thunstetten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2126;1007;47.4;997;469;528;47.0
"......Ursenbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";718;319;44.4;315;112;203;35.6
"......Wynau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1083;567;52.4;554;203;351;36.6
"......Eriswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1106;436;39.4;427;178;249;41.7
"......Huttwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3562;1664;46.7;1624;518;1106;31.9
"......Walterswil (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";439;186;42.4;186;72;114;38.7
"......Wyssachen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";958;426;44.5;422;172;250;40.8
"......Attiswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1055;569;53.9;564;181;383;32.1
"......Berken";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";40;28;70.0;28;8;20;28.6
"......Bettenhausen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";571;335;58.7;331;112;219;33.8
"......Farnern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";163;85;52.1;85;34;51;40.0
"......Graben";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";242;127;52.5;125;44;81;35.2
"......Heimenhausen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";799;388;48.6;387;114;273;29.5
"......Herzogenbuchsee";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4863;2257;46.4;2245;745;1500;33.2
"......Inkwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";517;258;49.9;255;101;154;39.6
"......Niederbipp";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2884;1297;45.0;1292;457;835;35.4
"......Niederönz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1168;677;58.0;660;259;401;39.2
"......Oberbipp";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1177;594;50.5;590;201;389;34.1
"......Ochlenberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";472;251;53.2;250;104;146;41.6
"......Rumisberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";387;231;59.7;229;79;150;34.5
"......Seeberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1250;661;52.9;650;246;404;37.8
"......Thörigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";850;432;50.8;427;140;287;32.8
"......Walliswil bei Niederbipp";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";179;89;49.7;88;44;44;50.0
"......Walliswil bei Wangen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";486;245;50.4;244;76;168;31.1
"......Wangen an der Aare";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1560;807;51.7;791;238;553;30.1
"......Wangenried";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";325;176;54.2;176;72;104;40.9
"......Wiedlisbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1605;728;45.4;720;240;480;33.3
"......Wolfisberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";154;81;52.6;80;30;50;37.5
">> Verwaltungskreis Emmental";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";73791;34842;47.2;34332;12877;21455;37.5
"......Aefligen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";826;432;52.3;426;178;248;41.8
"......Alchenstorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";454;230;50.7;229;71;158;31.0
"......Burgdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";11407;5660;49.6;5582;2185;3397;39.1
"......Ersigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1581;892;56.4;881;473;408;53.7
"......Hasle bei Burgdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2541;1005;39.6;996;381;615;38.3
"......Heimiswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1220;566;46.4;551;192;359;34.8
"......Hellsau (Gemeinsame Urne, Standort: Höchstetten                )";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"......Hindelbank";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1709;802;46.9;793;248;545;31.3
"......Höchstetten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";355;165;46.5;164;57;107;34.8
"......Kernenried";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";338;166;49.1;160;59;101;36.9
"......Kirchberg (BE)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4159;2219;53.4;2199;715;1484;32.5
"......Koppigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1567;797;50.9;793;276;517;34.8
"......Krauchthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1822;946;51.9;929;326;603;35.1
"......Lyssach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1089;592;54.4;581;208;373;35.8
"......Mötschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";243;123;50.6;122;47;75;38.5
"......Oberburg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2049;936;45.7;922;322;600;34.9
"......Rüdtligen-Alchenflüh";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1540;617;40.1;607;224;383;36.9
"......Rumendingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";72;41;56.9;40;7;33;17.5
"......Rüti bei Lyssach (Gemeinsame Urne, Standort: Mötschwil                  )";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"......Willadingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";174;113;64.9;111;34;77;30.6
"......Wynigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1625;810;49.8;805;297;508;36.9
"......Bätterkinden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2388;1215;50.9;1193;492;701;41.2
"......Utzenstorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3126;1620;51.8;1613;587;1026;36.4
"......Wiler bei Utzenstorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";654;324;49.5;319;124;195;38.9
"......Zielebach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";271;140;51.7;140;39;101;27.9
"......Eggiwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2006;851;42.4;824;332;492;40.3
"......Langnau im Emmental";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7205;3277;45.5;3213;1270;1943;39.5
"......Lauperswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2173;901;41.5;887;355;532;40.0
"......Röthenbach im Emmental";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1015;415;40.9;411;144;267;35.0
"......Rüderswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1907;873;45.8;861;323;538;37.5
"......Schangnau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";761;342;44.9;336;128;208;38.1
"......Signau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2180;963;44.2;938;354;584;37.7
"......Trub";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1252;441;35.2;436;196;240;45.0
"......Trubschachen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1086;485;44.7;478;180;298;37.7
"......Affoltern im Emmental";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";975;430;44.1;417;140;277;33.6
"......Dürrenroth";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";842;349;41.4;343;111;232;32.4
"......Lützelflüh";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3188;1449;45.5;1432;515;917;36.0
"......Rüegsau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2519;1269;50.4;1241;403;838;32.5
"......Sumiswald";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4085;1747;42.8;1727;652;1075;37.8
"......Trachselwald";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";789;351;44.5;346;128;218;37.0
">> Verwaltungskreis Bern-Mittelland";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";286412;155427;54.3;153377;59737;93640;38.9
"......Meikirch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1956;1176;60.1;1141;392;749;34.4
"......Bern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";86225;45736;53.0;45101;21490;23611;47.6
"......Bolligen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4732;3199;67.6;3163;919;2244;29.1
"......Bremgarten bei Bern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3216;2053;63.8;2030;695;1335;34.2
"......Kirchlindach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2276;1433;63.0;1416;492;924;34.7
"......Köniz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";27946;15352;54.9;15125;5724;9401;37.8
"......Muri bei Bern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9529;5996;62.9;5928;1544;4384;26.0
"......Oberbalm";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";703;359;51.1;349;170;179;48.7
"......Stettlen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2159;1215;56.3;1204;404;800;33.6
"......Vechigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3814;2246;58.9;2220;861;1359;38.8
"......Wohlen bei Bern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6898;4481;65.0;4415;1658;2757;37.6
"......Zollikofen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6896;3921;56.9;3871;1358;2513;35.1
"......Ittigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7547;3894;51.6;3846;1311;2535;34.1
"......Ostermundigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";10174;4772;46.9;4731;1808;2923;38.2
"......Bäriswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";814;461;56.6;460;181;279;39.3
"......Deisswil bei Münchenbuchsee (Gemeinsame Urne, Standort: Wiggiswil                  )";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"......Diemerswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";140;81;57.9;81;28;53;34.6
"......Fraubrunnen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3742;2246;60.0;2227;753;1474;33.8
"......Jegenstorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4133;2490;60.2;2457;738;1719;30.0
